上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/action/steel-ball-run,0,5,0%,28.6
https://www.dearmanga.com/action/kenichi-disciple,0,5,0%,31.8
https://www.dearmanga.com/romance/versailles-no-bara,0,5,0%,36.6
https://www.dearmanga.com/action/rave-master,0,5,0%,38.8
https://www.dearmanga.com/horror/bio-meat-nectar,0,5,0%,40.4
https://www.dearmanga.com/fantasy/oriko-magica,0,5,0%,42.4
https://www.dearmanga.com/sci-fi/they-were-eleven,0,5,0%,43.6
https://www.dearmanga.com/fantasy/shakugan-no-shana,0,5,0%,50
https://www.dearmanga.com/slice-of-life/golden-boy,0,5,0%,52.8
https://www.dearmanga.com/sports/yuri-on-ice,0,5,0%,55.8
https://www.dearmanga.com/romance/love-chunibyo,0,5,0%,62.4
https://www.dearmanga.com/romance/ultra-maniac,0,5,0%,63.2
https://www.dearmanga.com/historical/hidamari-no-ki,0,4,0%,2.5
https://www.dearmanga.com/historical/nobunaga-no-chef,0,4,0%,4.25
https://www.dearmanga.com/slice-of-life/sazae-san,0,4,0%,4.25
https://www.dearmanga.com/sports/welcome-to-the-ballroom,0,4,0%,5
https://www.dearmanga.com/romance/yurara,0,4,0%,5.25
https://www.dearmanga.com/action/ninku,0,4,0%,5.5
https://www.dearmanga.com/action/gto-shonan-14-days,0,4,0%,6
https://www.dearmanga.com/horror/talentless-nana,0,4,0%,6
https://www.dearmanga.com/romance/dangers-in-my-heart,0,4,0%,6.5
https://www.dearmanga.com/slice-of-life/bartender,0,4,0%,6.5
https://www.dearmanga.com/sci-fi/origin-boichi,0,4,0%,6.75
https://www.dearmanga.com/slice-of-life/always-sunset-on-third-street,0,4,0%,6.75
https://www.dearmanga.com/sports/dokaben,0,4,0%,6.75
